fecha	hora	real	programado	desviacion	porcentaje
2016-01-09	23	8901,678066	2346,3	-6555,378066	-279,3921521544559500
2016-01-09	24	8568,789033	2331,6	-6237,189033	-267,5068207668553800
2016-01-10	1	8150,365161	2307,5	-5842,865161	-253,2119246370530900
2016-01-10	2	7729,189066	2277,3	-5451,889066	-239,4014432002810300
2016-01-10	3	7450,303162	2256,1	-5194,203162	-230,2292966623819900
2016-01-10	4	7267,13417499999	2259,4	-5007,73417499999	-221,6400006638926300
2016-01-10	5	7155,384059	2254,8	-4900,584059	-217,3400771243569300
2016-01-10	6	7110,305307	2245,7	-4864,605307	-216,6186626441644000
2016-01-10	7	6981,315166	2268,5	-4712,815166	-207,7502828300639200
2016-01-10	8	6755,112514	2246,9	-4508,212514	-200,6414399394721600
2016-01-10	9	6858,857137	2209,0	-4649,857137	-210,4960224988682700
2016-01-10	10	7203,343501	2221,5	-4981,843501	-224,2558406932253000
2016-01-10	11	7566,21911	2216,7	-5349,51911	-241,3280601795461700
2016-01-10	12	7778,96775	2213,3	-5565,66775	-251,4646794379433400
2016-01-10	13	7899,121863	2204,3	-5694,821863	-258,3505812729664700
2016-01-10	14	7974,055439	2198,5	-5775,555439	-262,7043638389811200
2016-01-10	15	7913,514427	2182,4	-5731,114427	-262,6060496242668600
2016-01-10	16	7826,781568	2191,9	-5634,881568	-257,0774929513207700
2016-01-10	17	7776,6392	2203,0	-5573,6392	-253,0022333182024500
2016-01-10	18	7732,75559	2208,4	-5524,35559	-250,1519466582140900
2016-01-10	19	7756,165941	2227,7	-5528,465941	-248,1692301925753000
2016-01-10	20	7773,017955	2255,3	-5517,717955	-244,6556092315878200
2016-01-10	21	7794,416798	2298,7	-5495,716798	-239,0793404097968400
2016-01-10	22	8442,524874	2339,4	-6103,124874	-260,8841956912028700
2016-01-10	23	8570,592409	2339,6	-6230,992409	-266,3272529064797400
2016-01-10	24	8263,370351	2324,8	-5938,570351	-255,4443543960770800
2016-01-11	1	7897,332212	2329,4	-5567,932212	-239,0286001545462400
2016-01-11	2	7539,53481	2300,0	-5239,53481	-227,8058613043478300
2016-01-11	3	7271,965108	2280,3	-4991,665108	-218,9038770337236300
2016-01-11	4	7190,725503	2283,6	-4907,125503	-214,8855098528639000
2016-01-11	5	7199,127536	2279,3	-4919,827536	-215,8481786513403200
2016-01-11	6	7264,959588	2270,5	-4994,459588	-219,9717942303457400
2016-01-11	7	7406,05707	2292,2	-5113,85707	-223,0982056539569000
2016-01-11	8	7603,993632	2207,3	-5396,693632	-244,4929838263942400
2016-01-11	9	8193,767131	2151,1	-6042,667131	-280,9105634791502000
2016-01-11	10	8736,742122	2162,3	-6574,442122	-304,0485650464782900
2016-01-11	11	9014,264752	2159,5	-6854,764752	-317,4236977078027300
2016-01-11	12	9196,701132	2156,0	-7040,701132	-326,5631322820037100
2016-01-11	13	9286,31884099999	2146,9	-7139,41884099999	-332,5454767804737100
2016-01-11	14	9292,549547	2140,8	-7151,749547	-334,0690184510463400
2016-01-11	15	9421,45617100001	2124,7	-7296,75617100001	-343,4252445521725400
2016-01-11	16	9431,31725	2133,6	-7297,71725	-342,0377413760779900
2016-01-11	17	9426,449539	2144,8	-7281,649539	-339,5024962234241000
2016-01-11	18	9192,557694	2151,0	-7041,557694	-327,3620499302649900
2016-01-11	19	8882,689912	2161,9	-6720,789912	-310,8742269300152600
2016-01-11	20	8653,550493	2200,0	-6453,550493	-293,3432042272727300
2016-01-11	21	8654,462892	2243,5	-6410,962892	-285,7572049030532600
2016-01-11	22	9159,57377	2283,7	-6875,87377	-301,0848084249244600
2016-01-11	23	9138,196595	2282,7	-6855,496595	-300,3240283436281600
2016-01-11	24	8723,304465	2267,2	-6456,104465	-284,7611355416372600
2016-01-12	1	8225,722908	2158,6	-6067,122908	-281,0674931900305800
